pokemon_1,type_1,hp_1,attack_1,defense_1,speed_1,pokemon_2,type_2,hp_2,attack_2,defense_2,speed_2,type_mult_1_vs_2,type_mult_2_vs_1,hp_diff,attack_diff,defense_diff,speed_diff,stat_total_diff,turns,winner
Farfetchd,Normal,60,34,19,25,Electabuzz,Electric,71,31,19,44,1.0,1.0,-11,3,0,-19,-27,3,0
Magikarp,Water,60,15,19,33,Gastly,Ghost,60,15,12,33,1.0,1.0,0,0,7,0,7,3,1
Diglett,Ground,60,20,12,39,Arbok,Poison,66,36,24,33,2.0,0.5,-6,-16,-12,6,-28,3,1
Jigglypuff,Normal,126,17,12,10,Pikachu,Electric,60,20,14,37,1.0,1.0,66,-3,-2,-27,34,4,1
Sandslash,Ground,82,38,38,27,Tentacool,Water,60,15,12,29,1.0,2.0,22,23,26,-2,69,2,1
Lickitung,Normal,99,20,26,12,Grimer,Poison,88,30,17,10,1.0,1.0,11,-10,9,2,12,5,1
Caterpie,Bug,60,15,12,18,Porygon,Normal,71,22,24,16,1.0,1.0,-11,-7,-12,2,-28,3,0
Caterpie,Bug,60,15,12,18,Pidgeotto,Normal,69,22,19,29,1.0,1.0,-9,-7,-7,-11,-34,2,0
Rhyhorn,Ground,88,32,33,10,Weezing,Poison,71,34,42,25,2.0,0.5,17,-2,-9,-15,-9,3,1
Seel,Water,71,17,19,18,Electabuzz,Electric,71,31,19,44,1.0,2.0,0,-14,0,-26,-40,2,0
Rapidash,Fire,71,38,24,44,Nidorina,Poison,77,23,23,23,1.0,1.0,-6,15,1,21,31,3,1
Tangela,Grass,71,20,40,25,Caterpie,Bug,60,15,12,18,0.5,2.0,11,5,28,7,51,5,1
Vileplume,Grass,82,30,29,21,Omanyte,Rock,60,15,35,14,2.0,1.0,22,15,-6,7,38,2,1
Ekans,Poison,60,22,15,23,Exeggutor,Grass,104,36,29,23,2.0,0.5,-44,-14,-14,0,-72,3,0
Dugtrio,Ground,60,38,17,50,Sandshrew,Ground,60,28,29,16,1.0,1.0,0,10,-12,34,32,3,1
Farfetchd,Normal,60,34,19,25,Raichu,Electric,66,34,19,46,1.0,1.0,-6,0,0,-21,-27,3,0
Nidoqueen,Poison,99,34,30,31,Beedrill,Bug,71,34,14,31,1.0,0.5,28,0,16,0,44,2,1
Rattata,Normal,60,21,12,30,Magnemite,Electric,60,15,24,18,1.0,1.0,0,6,-12,12,6,3,0
Paras,Bug,60,26,19,10,Machoke,Fighting,88,38,24,18,0.5,0.5,-28,-12,-5,-8,-53,4,0
Hitmonlee,Fighting,60,45,18,36,Muk,Poison,115,39,26,21,0.5,1.0,-55,6,-8,15,-42,2,0
Raticate,Normal,60,30,21,40,Shellder,Water,60,24,35,16,1.0,1.0,0,6,-14,24,16,4,0
Pikachu,Electric,60,20,14,37,Omanyte,Rock,60,15,35,14,1.0,1.0,0,5,-21,23,7,4,0
Zubat,Poison,60,17,12,23,Magikarp,Water,60,15,19,33,1.0,1.0,0,2,-7,-10,-15,4,0
Drowzee,Psychic,66,18,15,17,Snorlax,Normal,176,41,22,12,1.0,1.0,-110,-23,-7,5,-135,2,0
Tangela,Grass,71,20,40,25,Jynx,Ice,71,19,12,39,1.0,2.0,0,1,28,-14,15,3,1
Lickitung,Normal,99,20,26,12,Kingler,Water,60,49,40,31,1.0,1.0,39,-29,-14,-19,-23,4,0
Dragonair,Dragon,67,31,22,29,Fearow,Normal,71,34,22,42,1.0,1.0,-4,-3,0,-13,-20,3,0
Kingler,Water,60,49,40,31,Magnemite,Electric,60,15,24,18,1.0,2.0,0,34,16,13,63,2,1
Rapidash,Fire,71,38,24,44,Vileplume,Grass,82,30,29,21,2.0,0.5,-11,8,-5,23,15,3,1
Omastar,Rock,77,22,43,23,Haunter,Ghost,60,19,15,39,1.0,1.0,17,3,28,-16,32,3,1
Machop,Fighting,77,30,17,14,Golbat,Poison,82,30,24,37,0.5,1.0,-5,0,-7,-23,-35,3,0
Charmander,Fire,60,19,15,27,Venomoth,Bug,77,24,21,37,2.0,0.5,-17,-5,-6,-10,-38,3,1
Nidorino,Poison,67,27,19,27,Nidoran-f,Poison,60,17,18,17,0.5,0.5,7,10,1,10,28,6,1
Lapras,Water,143,32,28,25,Rattata,Normal,60,21,12,30,1.0,1.0,83,11,16,-5,105,2,1
Dodrio,Normal,66,41,24,46,Psyduck,Water,60,19,16,23,1.0,1.0,6,22,8,23,59,2,1
Tentacruel,Water,88,26,22,42,Pidgey,Normal,60,17,14,23,1.0,1.0,28,9,8,19,64,3,1
Dodrio,Normal,66,41,24,46,Nidorino,Poison,67,27,19,27,1.0,1.0,-1,14,5,19,37,2,1
Tauros,Normal,82,38,33,46,Gyarados,Water,104,47,27,34,1.0,1.0,-22,-9,6,12,-13,4,0
Porygon,Normal,71,22,24,16,Pinsir,Bug,71,47,35,35,1.0,1.0,0,-25,-11,-19,-55,3,0
Weedle,Bug,60,15,12,21,Dodrio,Normal,66,41,24,46,1.0,1.0,-6,-26,-12,-25,-69,2,0
Seel,Water,71,17,19,18,Persian,Normal,71,26,21,48,1.0,1.0,0,-9,-2,-30,-41,3,0
Voltorb,Electric,60,15,17,42,Rhydon,Ground,115,49,42,16,0.0,2.0,-55,-34,-25,26,-88,1,0
Diglett,Ground,60,20,12,39,Slowpoke,Water,99,24,22,10,1.0,2.0,-39,-4,-10,29,-24,1,0
Hitmonlee,Fighting,60,45,18,36,Snorlax,Normal,176,41,22,12,2.0,1.0,-116,4,-4,24,-92,2,0
Ponyta,Fire,60,32,19,37,Kakuna,Bug,60,15,17,14,2.0,0.5,0,17,2,23,42,1,1
Mankey,Fighting,60,30,12,29,Nidoran-m,Poison,60,21,14,21,0.5,1.0,0,9,-2,8,15,3,0
Rhyhorn,Ground,88,32,33,10,Primeape,Fighting,71,39,21,39,1.0,1.0,17,-7,12,-29,-7,3,1
Omanyte,Rock,60,15,35,14,Hitmonlee,Fighting,60,45,18,36,0.5,2.0,0,-30,17,-22,-35,2,0
Blastoise,Water,86,31,35,32,Magmar,Fire,71,36,19,39,2.0,0.5,15,-5,16,-7,19,2,1
Machop,Fighting,77,30,17,14,Wartortle,Water,64,23,28,24,1.0,1.0,13,7,-11,-10,-1,4,0
Seaking,Water,88,34,22,28,Dugtrio,Ground,60,38,17,50,2.0,1.0,28,-4,5,-22,7,1,1
Charmander,Fire,60,19,15,27,Raticate,Normal,60,30,21,40,1.0,1.0,0,-11,-6,-13,-30,2,0
Seadra,Water,60,24,33,35,Horsea,Water,60,15,24,25,0.5,0.5,0,9,9,10,28,8,1
Tentacool,Water,60,15,12,29,Ninetales,Fire,80,28,26,42,2.0,0.5,-20,-13,-14,-13,-60,4,0
Cubone,Ground,60,19,33,14,Wartortle,Water,64,23,28,24,1.0,2.0,-4,-4,5,-10,-13,3,0
Staryu,Water,60,17,19,35,Pidgey,Normal,60,17,14,23,1.0,1.0,0,0,5,12,17,3,1
Venonat,Bug,66,20,17,18,Exeggutor,Grass,104,36,29,23,2.0,0.5,-38,-16,-12,-5,-71,4,0
Grimer,Poison,88,30,17,10,Poliwag,Water,60,19,14,37,1.0,1.0,28,11,3,-27,15,2,1
Magnemite,Electric,60,15,24,18,Caterpie,Bug,60,15,12,18,1.0,1.0,0,0,12,0,12,3,1
Mew,Psychic,110,38,35,42,Jolteon,Electric,71,24,21,54,1.0,1.0,39,14,14,-12,55,3,1
Chansey,Normal,180,15,12,21,Kabuto,Rock,60,30,31,23,0.5,1.0,120,-15,-19,-2,84,5,0
Lickitung,Normal,99,20,26,12,Onix,Rock,60,17,50,29,0.5,1.0,39,3,-24,-17,1,9,0
Kadabra,Psychic,60,15,12,44,Golduck,Water,88,31,27,35,1.0,1.0,-28,-16,-15,9,-50,2,0
Marowak,Ground,66,30,38,18,Wigglytuff,Normal,154,26,15,18,1.0,1.0,-88,4,23,0,-61,5,1
Jigglypuff,Normal,126,17,12,10,Cloyster,Water,60,36,50,29,1.0,1.0,66,-19,-38,-19,-10,3,0
Electrode,Electric,66,19,24,60,Dragonite,Dragon,100,50,33,33,0.5,1.0,-34,-31,-9,27,-47,3,0
Dragonair,Dragon,67,31,22,29,Spearow,Normal,60,22,12,29,1.0,1.0,7,9,10,0,26,2,1
Jolteon,Electric,71,24,21,54,Slowbro,Water,104,28,38,12,2.0,1.0,-33,-4,-17,42,-12,4,0
Drowzee,Psychic,66,18,15,17,Vileplume,Grass,82,30,29,21,1.0,1.0,-16,-12,-14,-4,-46,3,0
Ninetales,Fire,80,28,26,42,Dugtrio,Ground,60,38,17,50,1.0,2.0,20,-10,9,-8,11,2,0
Rapidash,Fire,71,38,24,44,Cloyster,Water,60,36,50,29,0.5,2.0,11,2,-26,15,2,2,0
Seel,Water,71,17,19,18,Magnemite,Electric,60,15,24,18,1.0,2.0,11,2,-5,0,8,3,0
Doduo,Normal,60,32,15,31,Gloom,Grass,66,24,24,16,1.0,1.0,-6,8,-9,15,8,3,1
Pinsir,Bug,71,47,35,35,Tentacool,Water,60,15,12,29,1.0,1.0,11,32,23,6,72,1,1
Arbok,Poison,66,36,24,33,Wartortle,Water,64,23,28,24,1.0,1.0,2,13,-4,9,20,4,1
Growlithe,Fire,60,26,15,25,Parasect,Bug,66,36,28,12,2.0,0.5,-6,-10,-13,13,-16,2,1
Alakazam,Psychic,60,19,15,50,Sandslash,Ground,82,38,38,27,1.0,1.0,-22,-19,-23,23,-41,2,0
Graveler,Rock,60,36,40,14,Electabuzz,Electric,71,31,19,44,1.0,1.0,-11,5,21,-30,-15,3,1
Eevee,Normal,60,20,17,23,Kangaskhan,Normal,115,36,28,37,1.0,1.0,-55,-16,-11,-14,-96,2,0
Clefable,Fairy,104,26,25,25,Jynx,Ice,71,19,12,39,1.0,1.0,33,7,13,-14,39,3,1
Weezing,Poison,71,34,42,25,Vulpix,Fire,60,15,14,27,1.0,1.0,11,19,28,-2,56,2,1
Seaking,Water,88,34,22,28,Charmander,Fire,60,19,15,27,2.0,0.5,28,15,7,1,51,1,1
Kabuto,Rock,60,30,31,23,Nidoran-m,Poison,60,21,14,21,1.0,0.5,0,9,17,2,28,2,1
Tentacruel,Water,88,26,22,42,Ninetales,Fire,80,28,26,42,2.0,0.5,8,-2,-4,0,2,3,1
Zubat,Poison,60,17,12,23,Nidoking,Poison,89,38,26,35,0.5,0.5,-29,-21,-14,-12,-76,3,0
Psyduck,Water,60,19,16,23,Muk,Poison,115,39,26,21,1.0,1.0,-55,-20,-10,2,-83,2,0
Kabuto,Rock,60,30,31,23,Chansey,Normal,180,15,12,21,1.0,0.5,-120,15,19,2,-84,5,1
Oddish,Grass,60,19,19,12,Krabby,Water,60,39,31,21,2.0,0.5,0,-20,-12,-9,-41,3,1
Marowak,Ground,66,30,38,18,Primeape,Fighting,71,39,21,39,1.0,1.0,-5,-9,17,-21,-18,3,1
Primeape,Fighting,71,39,21,39,Slowpoke,Water,99,24,22,10,1.0,1.0,-28,15,-1,29,15,4,1
Nidoking,Poison,89,38,26,35,Machamp,Fighting,99,49,28,23,1.0,0.5,-10,-11,-2,12,-11,5,1
Magikarp,Water,60,15,19,33,Ponyta,Fire,60,32,19,37,2.0,0.5,0,-17,0,-4,-21,3,1
Ditto,Normal,60,18,16,20,Golbat,Poison,82,30,24,37,1.0,1.0,-22,-12,-8,-17,-59,2,0
Venusaur,Grass,88,31,29,33,Dratini,Dragon,60,24,15,21,0.5,1.0,28,7,14,12,61,4,1
Dragonite,Dragon,100,50,33,33,Magmar,Fire,71,36,19,39,1.0,0.5,29,14,14,-6,51,2,1
Oddish,Grass,60,19,19,12,Hitmonchan,Fighting,60,39,27,31,1.0,1.0,0,-20,-8,-19,-47,2,0
Cloyster,Water,60,36,50,29,Voltorb,Electric,60,15,17,42,1.0,2.0,0,21,33,-13,41,2,1
Vaporeon,Water,143,24,21,27,Venusaur,Grass,88,31,29,33,0.5,2.0,55,-7,-8,-6,34,3,0
Cubone,Ground,60,19,33,14,Magmar,Fire,71,36,19,39,2.0,1.0,-11,-17,14,-25,-39,2,1
Gloom,Grass,66,24,24,16,Poliwhirl,Water,71,24,22,37,2.0,0.5,-5,0,2,-21,-24,2,1
Victreebel,Grass,88,39,22,29,Exeggcute,Grass,66,15,28,16,0.5,0.5,22,24,-6,13,53,7,1
Electabuzz,Electric,71,31,19,44,Eevee,Normal,60,20,17,23,1.0,1.0,11,11,2,21,45,2,1
Spearow,Normal,60,22,12,29,Charmander,Fire,60,19,15,27,1.0,1.0,0,3,-3,2,2,3,1
Weepinbell,Grass,71,34,17,23,Grimer,Poison,88,30,17,10,0.5,2.0,-17,4,0,13,0,2,0
Gastly,Ghost,60,15,12,33,Mewtwo,Psychic,116,41,31,54,2.0,1.0,-56,-26,-19,-21,-122,1,0
Goldeen,Water,60,25,21,26,Dragonair,Dragon,67,31,22,29,0.5,1.0,-7,-6,-1,-3,-17,3,0
Charizard,Fire,85,31,27,42,Mewtwo,Psychic,116,41,31,54,1.0,1.0,-31,-10,-4,-12,-57,4,0
Kingler,Water,60,49,40,31,Farfetchd,Normal,60,34,19,25,1.0,1.0,0,15,21,6,42,2,1
Ditto,Normal,60,18,16,20,Dodrio,Normal,66,41,24,46,1.0,1.0,-6,-23,-8,-26,-63,2,0
Weepinbell,Grass,71,34,17,23,Seadra,Water,60,24,33,35,2.0,0.5,11,10,-16,-12,-7,2,1
Farfetchd,Normal,60,34,19,25,Bellsprout,Grass,60,28,12,16,1.0,1.0,0,6,7,9,22,2,1
Poliwag,Water,60,19,14,37,Paras,Bug,60,26,19,10,1.0,1.0,0,-7,-5,27,15,2,0
Nidoqueen,Poison,99,34,30,31,Staryu,Water,60,17,19,35,1.0,1.0,39,17,11,-4,63,2,1
Muk,Poison,115,39,26,21,Hypno,Psychic,93,27,24,28,1.0,2.0,22,12,2,-7,29,4,0
Sandslash,Ground,82,38,38,27,Gengar,Ghost,66,24,21,46,1.0,1.0,16,14,17,-19,28,3,1
Farfetchd,Normal,60,34,19,25,Snorlax,Normal,176,41,22,12,1.0,1.0,-116,-7,-3,13,-113,2,0
Squirtle,Water,60,18,22,18,Poliwhirl,Water,71,24,22,37,0.5,0.5,-11,-6,0,-19,-36,7,0
Nidorina,Poison,77,23,23,23,Kangaskhan,Normal,115,36,28,37,1.0,1.0,-38,-13,-5,-14,-70,3,0
Paras,Bug,60,26,19,10,Drowzee,Psychic,66,18,15,17,2.0,1.0,-6,8,4,-7,-1,2,1
Ekans,Poison,60,22,15,23,Articuno,Ice,99,32,35,35,1.0,1.0,-39,-10,-20,-12,-81,2,0
Gyarados,Water,104,47,27,34,Moltres,Fire,99,38,31,37,2.0,0.5,5,9,-4,-3,7,3,1
Lickitung,Normal,99,20,26,12,Machamp,Fighting,99,49,28,23,1.0,2.0,0,-29,-2,-11,-42,2,0
Mr-mime,Psychic,60,17,22,37,Slowpoke,Water,99,24,22,10,1.0,1.0,-39,-7,0,27,-19,4,0
Slowbro,Water,104,28,38,12,Kingler,Water,60,49,40,31,0.5,0.5,44,-21,-2,-19,2,11,0
Machamp,Fighting,99,49,28,23,Parasect,Bug,66,36,28,12,0.5,0.5,33,13,0,11,57,6,1
Dugtrio,Ground,60,38,17,50,Nidoran-m,Poison,60,21,14,21,2.0,0.5,0,17,3,29,49,1,1
Doduo,Normal,60,32,15,31,Ekans,Poison,60,22,15,23,1.0,1.0,0,10,0,8,18,2,1
Slowbro,Water,104,28,38,12,Golbat,Poison,82,30,24,37,1.0,1.0,22,-2,14,-25,9,5,1
Gengar,Ghost,66,24,21,46,Bulbasaur,Grass,60,18,17,18,1.0,1.0,6,6,4,28,44,3,1
Slowbro,Water,104,28,38,12,Omastar,Rock,77,22,43,23,2.0,1.0,27,6,-5,-11,17,4,1
Nidoran-f,Poison,60,17,18,17,Sandshrew,Ground,60,28,29,16,0.5,2.0,0,-11,-11,1,-21,2,0
Zubat,Poison,60,17,12,23,Pinsir,Bug,71,47,35,35,1.0,0.5,-11,-30,-23,-12,-76,3,0
Scyther,Bug,77,41,28,44,Nidoran-f,Poison,60,17,18,17,0.5,1.0,17,24,10,27,78,4,1
Slowpoke,Water,99,24,22,10,Zapdos,Electric,99,34,29,42,1.0,2.0,0,-10,-7,-32,-49,2,0
Rattata,Normal,60,21,12,30,Paras,Bug,60,26,19,10,1.0,1.0,0,-5,-7,20,8,2,0
Abra,Psychic,60,15,12,37,Victreebel,Grass,88,39,22,29,1.0,1.0,-28,-24,-10,8,-54,2,0
Machamp,Fighting,99,49,28,23,Horsea,Water,60,15,24,25,1.0,1.0,39,34,4,-2,75,2,1
Alakazam,Psychic,60,19,15,50,Geodude,Rock,60,30,35,10,1.0,1.0,0,-11,-20,40,9,2,0
Electabuzz,Electric,71,31,19,44,Victreebel,Grass,88,39,22,29,0.5,1.0,-17,-8,-3,15,-13,3,0
Kadabra,Psychic,60,15,12,44,Magneton,Electric,60,22,33,29,1.0,1.0,0,-7,-21,15,-13,2,0
Marowak,Ground,66,30,38,18,Ponyta,Fire,60,32,19,37,2.0,1.0,6,-2,19,-19,4,2,1
Weezing,Poison,71,34,42,25,Poliwrath,Water,99,36,33,29,1.0,1.0,-28,-2,9,-4,-25,5,0
Nidoran-f,Poison,60,17,18,17,Venonat,Bug,66,20,17,18,1.0,0.5,-6,-3,1,-1,-9,4,1
Dugtrio,Ground,60,38,17,50,Hypno,Psychic,93,27,24,28,1.0,1.0,-33,11,-7,22,-7,3,0
Golduck,Water,88,31,27,35,Arbok,Poison,66,36,24,33,1.0,1.0,22,-5,3,2,22,4,1
Diglett,Ground,60,20,12,39,Charmander,Fire,60,19,15,27,2.0,1.0,0,1,-3,12,10,2,1
Jolteon,Electric,71,24,21,54,Jynx,Ice,71,19,12,39,1.0,1.0,0,5,9,15,29,3,1
Slowpoke,Water,99,24,22,10,Caterpie,Bug,60,15,12,18,1.0,1.0,39,9,10,-8,50,2,1
Zapdos,Electric,99,34,29,42,Machamp,Fighting,99,49,28,23,1.0,1.0,0,-15,1,19,5,4,0
Wigglytuff,Normal,154,26,15,18,Nidoqueen,Poison,99,34,30,31,1.0,1.0,55,-8,-15,-13,19,5,0
Bulbasaur,Grass,60,18,17,18,Ninetales,Fire,80,28,26,42,0.5,2.0,-20,-10,-9,-24,-63,2,0
Zapdos,Electric,99,34,29,42,Gyarados,Water,104,47,27,34,2.0,1.0,-5,-13,2,8,-8,3,1
Tentacool,Water,60,15,12,29,Seaking,Water,88,34,22,28,0.5,0.5,-28,-19,-10,1,-56,3,0
Vulpix,Fire,60,15,14,27,Wigglytuff,Normal,154,26,15,18,1.0,1.0,-94,-11,-1,9,-97,3,0
Muk,Poison,115,39,26,21,Aerodactyl,Rock,88,39,22,54,0.5,1.0,27,0,4,-33,-2,5,0
Onix,Rock,60,17,50,29,Ivysaur,Grass,66,23,22,25,1.0,2.0,-6,-6,28,4,20,4,0
Krabby,Water,60,39,31,21,Doduo,Normal,60,32,15,31,1.0,1.0,0,7,16,-10,13,2,1
Exeggutor,Grass,104,36,29,23,Squirtle,Water,60,18,22,18,2.0,0.5,44,18,7,5,74,2,1
Vulpix,Fire,60,15,14,27,Paras,Bug,60,26,19,10,2.0,0.5,0,-11,-5,17,1,3,1
Machamp,Fighting,99,49,28,23,Magmar,Fire,71,36,19,39,1.0,1.0,28,13,9,-16,34,2,1
Rhyhorn,Ground,88,32,33,10,Tauros,Normal,82,38,33,46,1.0,1.0,6,-6,0,-36,-36,5,0
Wigglytuff,Normal,154,26,15,18,Hitmonchan,Fighting,60,39,27,31,1.0,2.0,94,-13,-12,-13,56,2,0
Raichu,Electric,66,34,19,46,Mew,Psychic,110,38,35,42,1.0,1.0,-44,-4,-16,4,-60,3,0
Growlithe,Fire,60,26,15,25,Hypno,Psychic,93,27,24,28,1.0,1.0,-33,-1,-9,-3,-46,3,0
Aerodactyl,Rock,88,39,22,54,Wigglytuff,Normal,154,26,15,18,1.0,0.5,-66,13,7,36,-10,4,1
Gloom,Grass,66,24,24,16,Seaking,Water,88,34,22,28,2.0,0.5,-22,-10,2,-12,-42,3,1
Golduck,Water,88,31,27,35,Pidgeotto,Normal,69,22,19,29,1.0,1.0,19,9,8,6,42,3,1
Seadra,Water,60,24,33,35,Kabuto,Rock,60,30,31,23,2.0,1.0,0,-6,2,12,8,3,1
Abra,Psychic,60,15,12,37,Grimer,Poison,88,30,17,10,2.0,1.0,-28,-15,-5,27,-21,2,0
Ditto,Normal,60,18,16,20,Growlithe,Fire,60,26,15,25,1.0,1.0,0,-8,1,-5,-12,3,0
Ditto,Normal,60,18,16,20,Nidoran-m,Poison,60,21,14,21,1.0,1.0,0,-3,2,-1,-2,3,1
Gloom,Grass,66,24,24,16,Abra,Psychic,60,15,12,37,1.0,1.0,6,9,12,-21,6,2,1
Rhyhorn,Ground,88,32,33,10,Dragonair,Dragon,67,31,22,29,1.0,1.0,21,1,11,-19,14,3,1
Charizard,Fire,85,31,27,42,Arcanine,Fire,99,41,28,39,0.5,0.5,-14,-10,-1,3,-22,8,0
Jolteon,Electric,71,24,21,54,Alakazam,Psychic,60,19,15,50,1.0,1.0,11,5,6,4,26,3,1
Nidorino,Poison,67,27,19,27,Wartortle,Water,64,23,28,24,1.0,1.0,3,4,-9,3,1,4,1
Bulbasaur,Grass,60,18,17,18,Alakazam,Psychic,60,19,15,50,1.0,1.0,0,-1,2,-32,-31,3,1
Mankey,Fighting,60,30,12,29,Beedrill,Bug,71,34,14,31,0.5,0.5,-11,-4,-2,-2,-19,3,0
Poliwhirl,Water,71,24,22,37,Hitmonlee,Fighting,60,45,18,36,1.0,1.0,11,-21,4,1,-5,3,1
Omanyte,Rock,60,15,35,14,Charmeleon,Fire,63,24,20,33,2.0,0.5,-3,-9,15,-19,-16,3,1
Poliwhirl,Water,71,24,22,37,Machoke,Fighting,88,38,24,18,1.0,1.0,-17,-14,-2,19,-14,3,0
Venusaur,Grass,88,31,29,33,Raticate,Normal,60,30,21,40,1.0,1.0,28,1,8,-7,30,3,1
Ditto,Normal,60,18,16,20,Staryu,Water,60,17,19,35,1.0,1.0,0,1,-3,-15,-17,4,0
Beedrill,Bug,71,34,14,31,Machop,Fighting,77,30,17,14,0.5,0.5,-6,4,-3,17,12,5,0
Hitmonchan,Fighting,60,39,27,31,Dragonair,Dragon,67,31,22,29,1.0,1.0,-7,8,5,2,8,3,1
Magikarp,Water,60,15,19,33,Omanyte,Rock,60,15,35,14,2.0,1.0,0,0,-16,19,3,4,1
Tentacruel,Water,88,26,22,42,Electrode,Electric,66,19,24,60,1.0,2.0,22,7,-2,-18,9,4,0
Kabutops,Rock,66,43,36,33,Oddish,Grass,60,19,19,12,1.0,2.0,6,24,17,21,68,2,1
Snorlax,Normal,176,41,22,12,Nidoran-m,Poison,60,21,14,21,1.0,1.0,116,20,8,-9,135,2,1
Hitmonchan,Fighting,60,39,27,31,Omastar,Rock,77,22,43,23,2.0,0.5,-17,17,-16,8,-8,3,1
Kakuna,Bug,60,15,17,14,Sandslash,Ground,82,38,38,27,1.0,0.5,-22,-23,-21,-13,-79,4,0
Doduo,Normal,60,32,15,31,Machamp,Fighting,99,49,28,23,1.0,2.0,-39,-17,-13,8,-61,1,0
Kabuto,Rock,60,30,31,23,Beedrill,Bug,71,34,14,31,2.0,1.0,-11,-4,17,-8,-6,2,1
Lickitung,Normal,99,20,26,12,Alakazam,Psychic,60,19,15,50,1.0,1.0,39,1,11,-38,13,3,1
Jolteon,Electric,71,24,21,54,Electrode,Electric,66,19,24,60,0.5,0.5,5,5,-3,-6,1,8,1
Kangaskhan,Normal,115,36,28,37,Machop,Fighting,77,30,17,14,1.0,2.0,38,6,11,23,78,3,1
Lapras,Water,143,32,28,25,Oddish,Grass,60,19,19,12,0.5,2.0,83,13,9,13,118,5,1
Zubat,Poison,60,17,12,23,Tauros,Normal,82,38,33,46,1.0,1.0,-22,-21,-21,-23,-87,2,0
Seel,Water,71,17,19,18,Weedle,Bug,60,15,12,21,1.0,1.0,11,2,7,-3,17,3,1
Grimer,Poison,88,30,17,10,Graveler,Rock,60,36,40,14,0.5,1.0,28,-6,-23,-4,-5,3,0
Rattata,Normal,60,21,12,30,Wartortle,Water,64,23,28,24,1.0,1.0,-4,-2,-16,6,-16,3,0
Mr-mime,Psychic,60,17,22,37,Nidoran-m,Poison,60,21,14,21,2.0,1.0,0,-4,8,16,20,2,1
Exeggcute,Grass,66,15,28,16,Charmeleon,Fire,63,24,20,33,0.5,2.0,3,-9,8,-17,-15,3,0
Rapidash,Fire,71,38,24,44,Rattata,Normal,60,21,12,30,1.0,1.0,11,17,12,14,54,2,1
Nidoqueen,Poison,99,34,30,31,Weezing,Poison,71,34,42,25,0.5,0.5,28,0,-12,6,22,11,1
Ninetales,Fire,80,28,26,42,Porygon,Normal,71,22,24,16,1.0,1.0,9,6,2,26,43,4,1
Zapdos,Electric,99,34,29,42,Magmar,Fire,71,36,19,39,1.0,1.0,28,-2,10,3,39,3,1
Porygon,Normal,71,22,24,16,Dodrio,Normal,66,41,24,46,1.0,1.0,5,-19,0,-30,-44,3,0
Raichu,Electric,66,34,19,46,Poliwhirl,Water,71,24,22,37,2.0,1.0,-5,10,-3,9,11,2,1
Hitmonlee,Fighting,60,45,18,36,Dugtrio,Ground,60,38,17,50,1.0,1.0,0,7,1,-14,-6,2,0
Moltres,Fire,99,38,31,37,Venusaur,Grass,88,31,29,33,2.0,0.5,11,7,2,4,24,3,1
Onix,Rock,60,17,50,29,Dugtrio,Ground,60,38,17,50,0.5,2.0,0,-21,33,-21,-9,3,0
Aerodactyl,Rock,88,39,22,54,Zubat,Poison,60,17,12,23,1.0,0.5,28,22,10,31,91,2,1
Alakazam,Psychic,60,19,15,50,Bulbasaur,Grass,60,18,17,18,1.0,1.0,0,1,-2,32,31,4,1
Eevee,Normal,60,20,17,23,Metapod,Bug,60,15,19,12,1.0,1.0,0,5,-2,11,14,4,1
Vaporeon,Water,143,24,21,27,Haunter,Ghost,60,19,15,39,1.0,1.0,83,5,6,-12,82,3,1
Muk,Poison,115,39,26,21,Spearow,Normal,60,22,12,29,1.0,1.0,55,17,14,-8,78,2,1
Snorlax,Normal,176,41,22,12,Primeape,Fighting,71,39,21,39,1.0,2.0,105,2,1,-27,81,3,0
Kingler,Water,60,49,40,31,Dodrio,Normal,66,41,24,46,1.0,1.0,-6,8,16,-15,3,3,1
Magikarp,Water,60,15,19,33,Blastoise,Water,86,31,35,32,0.5,0.5,-26,-16,-16,1,-57,5,0
Ponyta,Fire,60,32,19,37,Rattata,Normal,60,21,12,30,1.0,1.0,0,11,7,7,25,2,1
Jolteon,Electric,71,24,21,54,Marowak,Ground,66,30,38,18,0.0,2.0,5,-6,-17,36,18,2,0
Ponyta,Fire,60,32,19,37,Ninetales,Fire,80,28,26,42,0.5,0.5,-20,4,-7,-5,-28,5,0
Poliwrath,Water,99,36,33,29,Sandshrew,Ground,60,28,29,16,2.0,1.0,39,8,4,13,64,2,1
Zapdos,Electric,99,34,29,42,Electrode,Electric,66,19,24,60,0.5,0.5,33,15,5,-18,35,6,1
Raichu,Electric,66,34,19,46,Geodude,Rock,60,30,35,10,1.0,1.0,6,4,-16,36,30,3,0
Mankey,Fighting,60,30,12,29,Scyther,Bug,77,41,28,44,0.5,0.5,-17,-11,-16,-15,-59,3,0
Voltorb,Electric,60,15,17,42,Nidorino,Poison,67,27,19,27,1.0,1.0,-7,-12,-2,15,-6,3,0
Moltres,Fire,99,38,31,37,Kadabra,Psychic,60,15,12,44,1.0,1.0,39,23,19,-7,74,2,1
Arbok,Poison,66,36,24,33,Blastoise,Water,86,31,35,32,1.0,1.0,-20,5,-11,1,-25,4,0
Cloyster,Water,60,36,50,29,Weedle,Bug,60,15,12,21,1.0,1.0,0,21,38,8,67,2,1
